h,chunk_mean,Hsig,S,A,WavePeriods,WaveHeights,dPddz_W50,,,,dPddt_W50,dPddt_W50N,S_W50,Hoverh,dPddz_WM50,dPddzcrit
0.70829,'11-Sep-2021 12:20:00',0.5318,0.58482,0.72016,14.2993,0.44576,1.2896,1.3666,1.2331,1.1189,0.74439,6.9992,0.16542,0.62934,1.4323,
0.82684,'11-Sep-2021 12:30:00',0.61864,0.56611,1.1057,13.0843,0.50387,1.2102,1.2456,1.2742,1.1628,0.84192,6.7491,0.17431,0.60939,1.3858,
0.94053,'11-Sep-2021 12:39:59',0.65334,0.58427,1.274,13.0616,0.51929,1.2532,1.2114,1.2013,1.0856,0.82484,5.7105,0.15808,0.55212,1.3238,
1.0521,'11-Sep-2021 12:50:00',0.70213,0.69295,1.0515,14.1288,0.53767,1.2046,1.2449,1.1709,1.071,0.76765,6.3119,0.14041,0.51105,1.2739,
1.1634,'11-Sep-2021 13:00:00',0.72259,0.72956,1.0855,12.7295,0.56876,1.2067,1.2144,1.1403,1.0643,0.62603,4.0841,0.10905,0.48887,1.2689,
1.2644,'11-Sep-2021 13:10:00',0.75478,0.85012,1.2161,12.6173,0.60178,1.1856,1.2498,1.1669,1.0737,0.71392,4.0907,0.11932,0.47595,1.2647,
1.3597,'11-Sep-2021 13:19:59',0.7637,0.87662,1.1631,12.7599,0.54945,1.1581,1.1676,1.1066,1.0475,0.41711,2.9201,0.067884,0.40411,1.2153,
1.4571,'11-Sep-2021 13:29:59',0.84863,0.69657,1.223,14.1311,0.59947,1.1547,1.2144,1.109,1.0508,0.43368,3.2001,0.068145,0.41142,1.2443,
1.539,'11-Sep-2021 13:40:00',0.88594,0.75632,1.1166,13.1402,0.63471,1.1828,1.2868,1.1114,1.0493,0.50863,3.3021,0.078069,0.4124,1.3007,
1.6332,'11-Sep-2021 13:50:00',0.79844,0.77645,1.0694,12.934,0.55805,1.1455,1.2006,1.0995,1.0388,0.42704,3.1745,0.063263,0.34169,1.2029,
1.6997,'11-Sep-2021 13:59:59',0.82015,0.71597,1.1329,14.0907,0.56816,1.1138,1.1418,1.1028,1.0381,0.35547,2.8848,0.052095,0.33428,1.1572,
1.754,'11-Sep-2021 14:09:59',0.8351,0.74349,0.92259,14.1408,0.59374,1.1392,1.2382,1.1119,1.0433,0.40497,3.1018,0.057835,0.33851,1.2382,
1.8135,'11-Sep-2021 14:19:59',0.79339,0.81123,0.92482,12.9837,0.55378,1.1103,1.1705,1.1085,1.04,0.32981,2.4256,0.046572,0.30536,1.1705,
1.8483,'11-Sep-2021 14:29:59',0.80758,0.68558,0.92586,13.6452,0.59589,1.13,1.1499,1.1141,1.0397,0.34418,2.5605,0.048218,0.3224,1.1841,
1.875,'11-Sep-2021 14:40:00',0.87047,0.79504,1.1674,13.2668,0.60233,1.1387,1.1513,1.099,1.0366,0.38223,2.9667,0.053135,0.32124,1.1849,
1.893,'11-Sep-2021 14:50:00',0.75846,0.80374,0.91003,13.0439,0.53643,1.097,1.1829,1.0937,1.0394,0.2848,2.3242,0.039381,0.28338,1.1829,
1.9064,'11-Sep-2021 15:00:00',0.88033,0.72357,0.98755,13.7947,0.59763,1.1336,1.2039,1.0903,1.0405,0.36108,2.6815,0.049823,0.31348,1.2039,
1.8993,'11-Sep-2021 15:09:59',0.78621,0.89708,1.0549,13.5354,0.52062,1.0754,1.1262,1.0768,1.0318,0.25753,2.1998,0.035595,0.27412,1.1341,
1.8774,'11-Sep-2021 15:20:00',0.77237,0.66185,0.91837,12.712,0.54566,1.1167,1.1555,1.0816,1.0349,0.30615,2.2769,0.042403,0.29064,1.1613,
1.8558,'11-Sep-2021 15:30:00',0.81879,0.73409,0.8808,13.7761,0.55082,1.1057,1.1014,1.0814,1.0338,0.28856,2.4132,0.04025,0.29681,1.1193,
1.8205,'11-Sep-2021 15:40:00',0.78493,0.88489,0.75273,13.2364,0.53666,1.1301,1.1103,1.0896,1.0368,0.27313,2.279,0.038633,0.29478,1.161,
1.7826,'11-Sep-2021 15:50:00',0.79479,0.76797,0.952,13.4596,0.55106,1.0749,1.0983,1.0843,1.0377,0.32155,2.5877,0.04573,0.30913,1.1377,
1.7208,'11-Sep-2021 15:59:59',0.85083,0.85532,1.0238,13.3025,0.598,1.1581,1.1738,1.1016,1.0435,0.42135,2.7674,0.060965,0.34751,1.2304,
1.6599,'11-Sep-2021 16:10:00',0.78873,0.65426,0.96575,13.0722,0.5614,1.1256,1.1877,1.0959,1.0375,0.3874,2.921,0.057195,0.33822,1.1877,
1.5802,'11-Sep-2021 16:20:00',0.89923,0.79777,1.1206,12.9304,0.65845,1.1652,1.4093,1.1282,1.0511,0.58662,3.3638,0.088717,0.41668,1.4093,
1.4889,'11-Sep-2021 16:30:00',0.79914,0.80911,1.2449,13.471,0.56945,1.1499,1.3331,1.1058,1.0376,0.46795,3.5269,0.072309,0.38245,1.3331,
1.3887,'11-Sep-2021 16:39:59',0.84462,0.69619,1.2361,13.1888,0.62634,1.1335,1.2899,1.1443,1.0504,0.57293,3.6518,0.093382,0.45102,1.3197,
1.2791,'11-Sep-2021 16:49:59',0.75887,0.87173,1.2084,13.9039,0.5526,1.1526,1.3057,1.1363,1.0504,0.52696,4.0055,0.08719,0.43203,1.3057,
1.1779,'11-Sep-2021 17:00:00',0.7339,0.80125,1.133,13.3342,0.6106,1.1926,1.3146,1.1666,1.067,0.6886,4.0697,0.12166,0.51837,1.3337,
1.0554,'11-Sep-2021 17:10:00',0.70597,0.70014,1.3526,12.9748,0.56914,1.2107,1.2258,1.2522,1.0964,0.91335,6.3043,0.16918,0.53927,1.3543,
0.94365,'11-Sep-2021 17:20:00',0.64445,0.73239,1.0301,13.3639,0.53582,1.26,1.2901,1.2904,1.1701,0.81178,5.7508,0.15762,0.56782,1.3757,
0.81018,'11-Sep-2021 17:29:59',0.57454,0.62857,1.2283,13.439,0.48959,1.2299,1.2598,1.2913,1.2122,0.80275,6.4338,0.16501,0.60429,1.3986,
