dt2,Pd2,,,,,,,,Pd_hydro2,,,,,,,,sensorselev,,,,,,,,dtSliceW1,dtSlice_indexW1,dtSliceW2,dtSlice_indexW2,dtSliceW3,dtSlice_indexW3,dtSliceW4,dtSlice_indexW4,dPddz2,,,,,,,dPddt2,Pe,,,,,,,,dPddzcrit
'11/09/2021 02:33:01.34',1.2785,1.3766,1.3934,1.4355,1.4836,1.6456,1.7953,1.94,1.2065,1.3065,1.3695,1.432,1.4945,1.5945,1.7475,1.9005,,,,,,,,,,,,,,,,,1.0823,-0.046738,1.3219,0.82097,1.3121,1.0128,1.0348,-0.025469,0.072003058,0.070109625,0.02394526,0.0035,-0.010845533,0.051124217,0.047826756,0.039534887,
'11/09/2021 02:33:01.40',1.2747,1.3875,1.386,1.4335,1.4846,1.6414,1.7942,1.9368,1.2045,1.3045,1.3675,1.43,1.4925,1.5925,1.7455,1.8985,,,,,,,,,,,,,,,,,1.2295,-0.33952,1.4078,0.86871,1.2603,1.033,1.0212,-0.015969,0.070212949,0.083038194,0.018574931,0.0035,-0.007862017,0.048936306,0.048721811,0.03834148,
'11/09/2021 02:33:01.46',1.2643,1.3853,1.3755,1.4366,1.4739,1.6384,1.7901,1.9329,1.2076,1.3076,1.3706,1.4331,1.4956,1.5956,1.7486,1.9016,,,,,,,,,,,,,,,,,1.3111,-0.47318,1.6274,0.64594,1.3379,1.0258,1.0225,-0.025259,0.056687676,0.077667865,0.004850757,0.0035,-0.021785092,0.042770372,0.041461922,0.031280492,
'11/09/2021 02:33:01.51',1.2598,1.3805,1.3798,1.44,1.4578,1.6331,1.7852,1.9286,1.211,1.311,1.374,1.4365,1.499,1.599,1.752,1.905,,,,,,,,,,,,,,,,,1.3091,-0.32838,1.6131,0.33565,1.4453,1.0284,1.0264,-0.046004,0.048731633,0.069512921,0.005745812,0.0035,-0.041177947,0.034118176,0.033207527,0.023622801,
'11/09/2021 02:33:01.57',1.26,1.3731,1.3665,1.4271,1.459,1.6303,1.7843,1.9265,1.1981,1.2981,1.3611,1.4236,1.4861,1.5861,1.7391,1.8921,,,,,,,,,,,,,,,,,1.2325,-0.42067,1.6179,0.5616,1.4045,1.0414,1.0179,-0.066549,0.061859104,0.074982701,0.005447461,0.0035,-0.027055971,0.04416268,0.045241042,0.034363459,
'11/09/2021 02:33:01.63',1.2578,1.3733,1.3552,1.4213,1.4618,1.6292,1.7766,1.9237,1.1923,1.2923,1.3553,1.4178,1.4803,1.5803,1.7333,1.8863,,,,,,,,,,,,,,,,,1.2564,-0.60525,1.707,0.69845,1.3658,0.9979,1.0504,-0.076466,0.065439323,0.080949733,-0.000121769,0.0035,-0.018503225,0.048836855,0.043252032,0.037346975,
'11/09/2021 02:33:01.68',1.2512,1.3699,1.3693,1.4253,1.4657,1.6245,1.7789,1.9209,1.1963,1.2963,1.3593,1.4218,1.4843,1.5843,1.7373,1.8903,,,,,,,,,,,,,,,,,1.2882,-0.3252,1.5447,0.69686,1.2802,1.0433,1.0173,-0.071232,0.054897566,0.073590393,0.010022185,0.0035,-0.018602675,0.040184658,0.041561372,0.030584339,
'11/09/2021 02:33:01.74',1.2469,1.3672,1.3575,1.4185,1.4686,1.6199,1.7732,1.9194,1.1895,1.2895,1.3525,1.415,1.4775,1.5775,1.7305,1.8835,,,,,,,,,,,,,,,,,1.3041,-0.47159,1.6258,0.8512,1.2056,1.0362,1.0445,-0.053869,0.057383829,0.077667865,0.004950208,0.0035,-0.008955973,0.04237257,0.042655328,0.035855217,
'11/09/2021 02:33:01.80',1.2522,1.3656,1.3541,1.4097,1.4568,1.6172,1.7755,1.9192,1.1807,1.2807,1.3437,1.4062,1.4687,1.5687,1.7217,1.8747,,,,,,,,,,,,,,,,,1.2355,-0.50023,1.5383,0.80347,1.2971,1.0687,1.0283,-0.032858,0.071505806,0.084927754,0.010419987,0.0035,-0.011939489,0.048538503,0.053793788,0.044507414,
'11/09/2021 02:33:01.85',1.252,1.3678,1.3484,1.41,1.4481,1.6117,1.7701,1.9167,1.181,1.281,1.344,1.4065,1.469,1.569,1.722,1.875,,,,,,,,,,,,,,,,,1.2594,-0.62594,1.6338,0.66026,1.328,1.07,1.0471,-0.01744,0.071008553,0.086817315,0.004452955,0.0035,-0.020890037,0.042670922,0.048125108,0.041722799,
'11/09/2021 02:33:01.91',1.2507,1.3656,1.3532,1.4121,1.4583,1.6124,1.771,1.9168,1.1831,1.2831,1.3461,1.4086,1.4711,1.5711,1.7241,1.8771,,,,,,,,,,,,,,,,,1.2504,-0.51455,1.5908,0.79074,1.2325,1.0713,1.0419,-0.012628,0.067627235,0.082540942,0.00713812,0.0035,-0.012735094,0.041278614,0.046931701,0.039733788,
'11/09/2021 02:33:01.97',1.2484,1.3649,1.3505,1.4149,1.4514,1.6125,1.7719,1.9182,1.1859,1.2859,1.3489,1.4114,1.4739,1.5739,1.7269,1.8799,,,,,,,,,,,,,,,,,1.2663,-0.54638,1.6783,0.6348,1.3031,1.0764,1.0452,-0.016354,0.062555257,0.079060173,0.00166834,0.0035,-0.022481246,0.03859345,0.045042141,0.03834148,
'11/09/2021 02:33:02.02',1.2457,1.3724,1.3582,1.4219,1.4505,1.6167,1.7756,1.9213,1.1929,1.2929,1.3559,1.4184,1.4809,1.5809,1.7339,1.8869,,,,,,,,,,,,,,,,,1.3678,-0.54319,1.6688,0.5075,1.3548,1.0726,1.0413,-0.020115,0.052809105,0.079457975,0.002265043,0.0035,-0.030437289,0.035808835,0.041660823,0.034363459,
'11/09/2021 02:33:02.08',1.244,1.3716,1.352,1.4086,1.4416,1.6182,1.7788,1.9244,1.1796,1.2796,1.3426,1.4051,1.4676,1.5676,1.7206,1.8736,,,,,,,,,,,,,,,,,1.3767,-0.62912,1.5542,0.57911,1.4583,1.0836,1.0406,-0.01275,0.064444818,0.091988743,0.009425482,0.0035,-0.025962015,0.050626965,0.058169612,0.050772797,
'11/09/2021 02:33:02.14',1.2489,1.3757,1.3577,1.4098,1.4497,1.6188,1.7813,1.9292,1.1808,1.2808,1.3438,1.4063,1.4688,1.5688,1.7218,1.8748,,,,,,,,,,,,,,,,,1.3688,-0.60366,1.4826,0.6889,1.3837,1.0959,1.0562,0.014502,0.068124487,0.094872808,0.013900756,0.0035,-0.019099928,0.050030261,0.059462469,0.054452467,
'11/09/2021 02:33:02.19',1.2544,1.3824,1.3655,1.4099,1.4718,1.6244,1.7897,1.9388,1.1809,1.2809,1.3439,1.4064,1.4689,1.5689,1.7219,1.8749,,,,,,,,,,,,,,,,,1.3817,-0.58616,1.3585,1.0406,1.2186,1.1147,1.0634,0.064183,0.073494816,0.101535994,0.021657898,0.0035,0.002878641,0.055500041,0.067816314,0.063900268,
'11/09/2021 02:33:02.25',1.2588,1.3818,1.3766,1.4221,1.4814,1.631,1.7988,1.9495,1.1931,1.2931,1.3561,1.4186,1.4811,1.5811,1.7341,1.8871,,,,,,,,,,,,,,,,,1.332,-0.39999,1.3776,0.99919,1.1877,1.131,1.0744,0.13189,0.065638224,0.088706875,0.020464491,0.0035,0.000292927,0.04983136,0.064633897,0.06240851,
'11/09/2021 02:33:02.31',1.2731,1.3904,1.3745,1.4252,1.4756,1.6373,1.8093,1.9599,1.1962,1.2962,1.3592,1.4217,1.4842,1.5842,1.7372,1.8902,,,,,,,,,,,,,,,,,1.2743,-0.57025,1.4603,0.85757,1.3091,1.1582,1.0731,0.20906,0.076876134,0.094176654,0.015293064,0.0035,-0.008558171,0.053113228,0.072092687,0.069668399,
'11/09/2021 02:33:02.36',1.2873,1.4108,1.3869,1.4404,1.4817,1.6557,1.8252,1.979,1.2114,1.3114,1.3744,1.4369,1.4994,1.5994,1.7524,1.9054,,,,,,,,,,,,,,,,,1.3359,-0.69754,1.5049,0.71118,1.4324,1.142,1.0939,0.28784,0.075881629,0.099348082,0.012508449,0.0035,-0.01770762,0.056295645,0.072788841,0.07354697,
'11/09/2021 02:33:02.42',1.3055,1.427,1.4135,1.4696,1.5105,1.6776,1.8477,2.0014,1.2406,1.3406,1.4036,1.4661,1.5286,1.6286,1.7816,1.9346,,,,,,,,,,,,,,,,,1.3161,-0.53206,1.5463,0.70481,1.3638,1.1459,1.0939,0.3656,0.06494207,0.086419513,0.009922735,0.0035,-0.018105422,0.049035756,0.066125655,0.066883784,
'11/09/2021 02:33:02.48',1.3356,1.445,1.4371,1.4858,1.5295,1.6978,1.8715,2.0239,1.2568,1.3568,1.4198,1.4823,1.5448,1.6448,1.7978,1.9508,,,,,,,,,,,,,,,,,1.1947,-0.44295,1.4285,0.74937,1.3757,1.1693,1.0854,0.44669,0.078865145,0.088209622,0.017282074,0.0035,-0.015320807,0.053013778,0.073683896,0.073149168,
