dPddzcrit,WaveHeightsWbW,WavePeriodsWbW,HoverhWbW,dPddt_W,dPddz_WM,dPddz_W,,,,,,,S_W,hW,PercentLiq_Hh,,,,,PercentLiq_S,,,,dPddt_WO,dPddt_WN,dPddt_WON,S_WO
1.84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.44085,8.5752,14.4109,13.0734,32.716,0.69324,10.2663,23.6256,33.3333,NaN,NaN,NaN,NaN
2.37,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.2939,10.8839,17.1373,17.4312,31.4815,1.2132,13.9467,22.2883,39.3939,NaN,NaN,NaN,NaN
,0.471,16.018,0.58708,0.66361,1.4548,1.6787,1.5762,2.405,0.94996,1.4548,1.3492,1.4486,0.13764,0.80227,,,,,,,,,,0.092377,7.1837,1,0.019959
,0.52145,15.6218,0.60172,0.81016,1.4428,1.632,1.8627,2.5339,1.1807,1.4428,1.3362,1.2493,0.16405,0.8666,,,,,,,,,,0.10486,7.7258,1,0.0218
,0.50746,11.2635,0.49403,0.79709,1.8615,1.4609,1.8261,3.0192,1.3319,1.8615,1.2667,1.0935,0.16089,1.0272,,,,,,,,,,0.14154,5.6315,1,0.027027
,0.50461,9.4523,0.4697,0.89305,1.4478,1.4599,1.8404,2.2809,1.2682,1.4478,1.3985,1.2921,0.17446,1.0743,,,,,,,,,,0.16771,5.3249,1,0.031314
,0.64844,21.4516,0.64769,0.8016,1.7984,1.9085,1.6319,2.4018,1.1298,1.5861,1.7984,1.335,0.15399,1.0011,,,,,,,,,,0.094964,8.4412,1,0.018368
,0.52627,13.2445,0.4995,0.7008,1.9053,2.0258,1.5842,2.5164,1.2173,1.9053,1.1369,1.1091,0.13697,1.0536,,,,,,,,,,0.12483,5.614,1,0.023536
,0.59386,11.8861,0.60875,0.87652,1.7949,2.2526,1.9104,2.6898,1.3287,1.7949,1.1739,1.2298,0.17067,0.97553,,,,,,,,,,0.15696,5.5843,1,0.030755
,0.54132,19.3574,0.60005,0.78341,1.4428,1.63,1.8022,2.4686,0.97542,1.4428,1.3648,1.4369,0.15527,0.90212,,,,,,,,,,0.087853,8.9173,1,0.017901
,0.49908,15.0558,0.52305,0.85245,1.3762,1.4689,1.8276,3.1306,1.1314,1.3762,1.2518,1.1026,0.17018,0.95417,,,,,,,,,,0.10414,8.1857,1,0.020632
,0.56705,17.7726,0.61526,0.80751,1.6716,2.1491,2.13,3.277,1.3939,1.6716,1.2765,1.3668,0.16154,0.92163,,,,,,,,,,0.10023,8.0562,1,0.020206
,0.5224,20.6026,0.56593,0.85738,2.3839,1.5872,1.7926,2.2602,1.1473,1.4011,2.3839,2.0575,0.1737,0.92309,,,,,,,,,,0.079659,10.7632,1,0.016046
,0.74791,14.8294,0.84155,1.1027,5.7709,1.5932,1.791,3.7384,1.6469,5.7709,1.2232,1.088,0.22205,0.88873,,,,,,,,,,0.15845,6.9594,1,0.032527
,0.51679,19.9234,0.53844,0.88611,1.5473,1.6021,1.6256,3.1067,1.1664,1.5473,1.2025,1.1247,0.17664,0.9598,,,,,,,,,,0.08149,10.8739,1,0.016098
,0.50476,14.0935,0.50154,0.86602,1.2571,1.5126,1.6287,2.1631,1.2571,1.1713,1.2245,1.1039,0.16886,1.0064,,,,,,,,,,0.11252,7.6968,1,0.021706
,0.61332,16.0746,0.61412,0.70674,1.966,2.0348,1.7322,2.3907,1.1489,1.966,1.107,1.3006,0.13793,0.9987,,,,,,,,,,0.11987,5.8961,1,0.023213
,0.50544,15.2256,0.53848,0.74582,2.8391,2.0646,1.7465,2.5466,1.1457,2.8391,1.2674,1.1824,0.14869,0.93863,,,,,,,,,,0.10429,7.1514,1,0.020832
,0.58994,16.301,0.64461,0.57492,1.9023,1.7573,2.0202,3.705,1.265,1.7133,1.9023,1.481,0.11413,0.9152,,,,,,,,,,0.1137,5.0567,1,0.023
,0.63176,16.4142,0.64677,1.1628,5.224,3.6846,3.4029,3.8355,2.4187,5.224,1.3823,1.5349,0.22951,0.9768,,,,,,,,,,0.12092,9.6168,1,0.023677
,0.54746,10.5277,0.59328,0.81843,1.4362,1.3754,1.6335,2.195,1.1839,1.3424,1.4362,1.1003,0.16077,0.92277,,,,,,,,,,0.16337,5.0097,1,0.032913
,0.50747,22.1308,0.50322,0.75145,1.3344,1.3843,1.6622,2.1631,1.09,1.3344,1.2434,1.126,0.14842,1.0085,,,,,,,,,,0.072039,10.4313,1,0.013883
,0.63851,14.0369,0.65059,0.84111,2.3314,1.631,1.6669,2.6341,1.195,1.7671,2.3314,1.864,0.16599,0.98143,,,,,,,,,,0.1429,5.8859,1,0.027916
,0.53191,12.1125,0.59717,0.77864,1.6517,1.7523,2.4546,2.5323,1.1791,1.6517,1.1492,1.2181,0.15334,0.89073,,,,,,,,,,0.13796,5.6439,1,0.02829
,0.58936,22.1308,0.62409,0.79255,1.2667,1.6409,1.9438,2.3939,1.0407,1.2539,1.2667,1.1987,0.15733,0.94436,,,,,,,,,,0.083663,9.4731,1,0.016661
,0.53175,13.5275,0.52908,0.77855,1.4627,1.5435,1.6685,2.4941,1.0725,1.4627,1.4096,1.2863,0.15142,1.0051,,,,,,,,,,0.12349,6.3044,1,0.023839
,0.50864,16.018,0.4827,0.76258,1.3941,1.5345,1.8006,2.3827,1.117,1.3941,1.2882,1.2123,0.14417,1.0537,,,,,,,,,,0.099759,7.6442,1,0.018808
,0.51653,15.9614,0.47114,0.82475,1.3669,1.4072,1.7385,2.3,1.3669,1.3225,1.135,1.0909,0.15335,1.0963,,,,,,,,,,0.10167,8.1124,1,0.018791
,0.66376,17.3764,0.60606,0.93636,1.5691,1.4798,1.8961,2.3636,1.2953,1.5691,1.2239,1.261,0.1738,1.0952,,,,,,,,,,0.12001,7.8026,1,0.022192
,0.59089,17.3764,0.56109,0.76877,3.1793,1.621,1.6622,2.4511,1.133,3.1793,1.5303,1.2525,0.14443,1.0531,,,,,,,,,,0.10683,7.1961,1,0.020147
,0.4411,11.2069,0.44421,0.64531,1.2608,1.4211,1.6431,2.2507,1.1266,1.2608,1.1914,1.0883,0.12432,0.99299,,,,,,,,,,0.12365,5.2188,1,0.024015
,0.38702,9.4523,0.36786,0.56793,1.2038,1.5286,1.5699,2.082,1.1155,1.1375,1.2038,1.0604,0.10998,1.0521,,,,,,,,,,0.12863,4.4151,1,0.02427
